ID,STATE_CODE,CITY,LAT,LONG,POP
4054593,AL,Chalkville,33.65316,-86.64777,3901
4054818,AL,Chatom,31.46517,-88.25446,1237
4054852,AL,Chelsea,33.34011,-86.63026,12059
4054866,AL,Cherokee,34.75703,-87.97281,1014
4054996,AL,Chickasaw,30.7638,-88.07472,5954
4055045,AL,Childersburg,33.27817,-86.35498,5046
4055139,AL,Choccolocco,33.65927,-85.70357,2804
4055294,AL,Chunchula,30.92185,-88.20056,210
4055535,AL,Citronelle,31.09073,-88.22806,3887
4055577,AL,Clanton,32.83874,-86.62943,8844
4055597,AL,Susan Moore,34.08371,-86.42832,770
4055650,AL,Clay,33.7026,-86.59971,9655
4055684,AL,Clayhatchee,31.23573,-85.72271,577
4055696,AL,Clayton,31.87822,-85.44966,2925
4055815,AL,Cleveland,33.99093,-86.57749,1315
4055879,AL,Clio,31.70878,-85.6105,1529
4056017,AL,Coaling,33.15901,-87.34083,1648
4056114,AL,Coffee Springs,31.16462,-85.90938,229
4056118,AL,Coffeeville,31.75794,-88.08973,338
4056154,AL,Coker,33.24595,-87.68779,978
4056381,AL,Collinsville,34.26398,-85.86053,1973
4056409,AL,Colony,33.5651,-86.19914,394
4056419,AL,Columbia,31.29271,-85.11267,737
4056427,AL,Columbiana,33.17817,-86.60721,4168
4056515,AL,Concord,33.46761,-87.03111,1837
4056837,AL,Coosada,32.49791,-86.33136,1240
4056920,AL,Cordova,33.75983,-87.18333,2028
4057139,AL,Cottonwood,31.04879,-85.30493,1264
4057203,AL,County Line,33.82149,-86.7186,261
4057261,AL,Courtland,34.66898,-87.30946,597
4057320,AL,Cowarts,31.20018,-85.30465,1988
4057531,AL,Creola,30.89185,-88.03972,1955
4057731,AL,Crossville,34.28759,-85.99414,1848
4057830,AL,Cuba,32.42877,-88.37679,321
4057835,AL,Cullman,34.17482,-86.84361,15350
4057856,AL,Cullomburg,31.71377,-88.29696,171
4057961,AL,Cusseta,32.78485,-85.30578,124
4058027,AL,Dadeville,32.83124,-85.76357,3150
4058061,AL,Daleville,31.31017,-85.71299,5141
4058198,AL,Danville,34.41454,-87.08751,6242
4058219,AL,Daphne,30.60353,-87.9036,24896
4058262,AL,Dauphin Island,30.25548,-88.10972,1251
4058417,AL,Daviston,33.0529,-85.63968,210
4058460,AL,Dayton,32.35024,-87.64193,50
